Transaction_ID,Customer_ID,Merchant_ID,Transaction_Date,Transaction_Time,Transaction_Type,Amount,Payment_Channel,Device_Type,Risk_Score,Fraud_Type,Is_Fraud
TXN000001,CUST0027,MER021,2025-10-20,22:19:56,UPI,11986,Net Banking,Mobile,9,None,No
TXN000002,CUST0655,MER031,2025-04-21,00:55:22,Credit Card,10631,Credit Card,Tablet,44,None,No
TXN000003,CUST0158,MER014,2025-06-18,03:44:26,RTGS,269,Debit Card,Laptop,26,None,No
TXN000004,CUST0274,MER008,2025-06-23,06:49:39,NEFT,14147,UPI,Tablet,20,None,No
TXN000005,CUST1734,MER010,2025-11-04,20:06:37,RTGS,36442,Net Banking,Mobile,17,None,No
TXN000006,CUST0961,MER011,2025-04-12,08:31:48,Debit Card,2752,Credit Card,Mobile,22,None,No
TXN000007,CUST0443,MER032,2025-01-06,02:17:56,NEFT,3366,Net Banking,Laptop,41,None,No
TXN000008,CUST0185,MER013,2025-10-18,19:49:02,NEFT,4758,Debit Card,Laptop,15,None,No
TXN000009,CUST0511,MER013,2025-04-24,03:33:06,Net Banking,2496,Net Banking,Tablet,28,None,No
TXN000010,CUST1650,MER022,2025-05-23,16:01:02,IMPS,9674,Debit Card,Laptop,13,None,No
TXN000011,CUST0921,MER029,2025-08-24,15:37:39,Debit Card,13224,Net Banking,Mobile,11,None,No
TXN000012,CUST0410,MER028,2025-01-17,17:28:34,IMPS,2917,Debit Card,Mobile,19,None,No
TXN000013,CUST0659,MER001,2025-04-27,15:33:55,Net Banking,6726,Credit Card,Laptop,8,None,No
TXN000014,CUST1450,MER014,2025-01-04,16:34:03,UPI,10891,Net Banking,Laptop,10,None,No
TXN000015,CUST0073,MER010,2025-08-11,16:15:03,NEFT,26118,Credit Card,Laptop,16,None,No
TXN000016,CUST1457,MER007,2025-07-18,10:37:20,Net Banking,49806,Credit Card,Laptop,24,None,No
TXN000017,CUST1552,MER028,2025-11-06,00:16:12,IMPS,1246,Credit Card,Tablet,39,None,No
TXN000018,CUST1229,MER022,2025-09-20,04:09:11,Credit Card,2197,UPI,Mobile,27,None,No
TXN000019,CUST0634,MER002,2025-02-28,00:37:35,RTGS,6862,Credit Card,Tablet,43,None,No
TXN000020,CUST1159,MER019,2025-09-20,23:58:00,NEFT,13647,Net Banking,Mobile,25,None,No
TXN000021,CUST1708,MER029,2025-03-05,01:55:33,NEFT,1258,Net Banking,Mobile,27,None,No
TXN000022,CUST0807,MER003,2025-01-05,06:32:50,IMPS,11648,Credit Card,Tablet,7,None,No
TXN000023,CUST1986,MER017,2025-10-10,13:41:09,Net Banking,3197,Net Banking,Laptop,20,None,No
TXN000024,CUST0565,MER007,2025-02-27,20:12:47,Credit Card,715,Net Banking,Tablet,14,None,No
TXN000025,CUST1906,MER002,2025-10-29,15:00:46,NEFT,43783,Credit Card,Tablet,17,None,No
TXN000026,CUST1579,MER015,2025-11-07,04:23:08,Credit Card,5375,Credit Card,Tablet,39,None,No
TXN000027,CUST0112,MER005,2025-09-05,18:20:41,Credit Card,37651,UPI,Tablet,5,None,No
TXN000028,CUST0289,MER004,2025-12-28,10:43:13,UPI,1724,Net Banking,Laptop,7,None,No
TXN000029,CUST0033,MER027,2025-07-31,06:47:21,Net Banking,1759,Credit Card,Mobile,22,None,No
TXN000030,CUST0740,MER012,2025-07-27,06:22:00,IMPS,27103,Credit Card,Mobile,22,None,No
TXN000031,CUST1213,MER005,2025-10-22,13:05:37,Net Banking,12926,UPI,Laptop,12,None,No
TXN000032,CUST1838,MER019,2025-07-23,21:37:22,Credit Card,12929,Credit Card,Mobile,20,None,No
TXN000033,CUST0320,MER016,2025-12-13,03:23:24,Debit Card,51131,Credit Card,Mobile,42,None,No
TXN000034,CUST0702,MER006,2025-12-12,23:52:07,UPI,11171,Debit Card,Laptop,10,None,No
TXN000035,CUST1752,MER028,2025-11-06,18:01:24,IMPS,4271,UPI,Laptop,16,None,No
TXN000036,CUST0780,MER024,2025-12-05,05:47:05,RTGS,5674,Debit Card,Laptop,18,None,No
TXN000037,CUST0712,MER022,2025-12-18,19:46:57,Debit Card,8810,Debit Card,Tablet,23,None,No
TXN000038,CUST0490,MER005,2025-12-24,12:36:52,Credit Card,4657,Credit Card,Mobile,18,None,No
